#,ADR_USD,hotel_id,city_id,star_rating,accommadation_type_name,chain_hotel,booking_date,checkin_date,checkout_date
"7,270",  101.74 ,"298,446","9,395",4,Hotel,non-chain,19/10/2016,22/10/2016,24/10/2016
"7,271",  108.48 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,23/10/2016,24/10/2016
"7,272",  52.12 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,25/10/2016,26/10/2016
"7,273",  48.52 ,"526,414","9,395",2.5,Hotel,non-chain,19/10/2016,26/10/2016,27/10/2016
"7,274",  61.94 ,"152,820","9,395",4,Hotel,non-chain,19/10/2016,19/10/2016,20/10/2016
"7,275",  58.28 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,276",  127.26 ,"21,294","9,395",4,Hotel,chain,19/10/2016,27/10/2016,28/10/2016
"7,277",  140.12 ,"348,814","9,395",3.5,Hotel,non-chain,19/10/2016,28/10/2016,30/10/2016
"7,278",  91.36 ,"1,246,920","9,395",4,Hotel,non-chain,19/10/2016,19/10/2016,20/10/2016
"7,279",  41.34 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,23/10/2016,24/10/2016
"7,280",  161.00 ,"96,982","9,395",4,Hotel,chain,19/10/2016,19/10/2016,21/10/2016
"7,281",  246.62 ,"2,313,076","9,395",5,Hotel,chain,19/10/2016,25/10/2016,26/10/2016
"7,282",  110.76 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,22/10/2016,23/10/2016
"7,283",  113.90 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,3/11/2016,6/11/2016
"7,284",  40.94 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,285",  114.18 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,22/10/2016,23/10/2016
"7,286",  131.66 ,"257,678","9,395",4,Hotel,non-chain,19/10/2016,30/10/2016,1/11/2016
"7,287",  65.90 ,"373,588","9,395",3,Hotel,non-chain,19/10/2016,19/10/2016,20/10/2016
"7,288",  50.30 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,19/10/2016,20/10/2016
"7,289",  175.84 ,"257,678","9,395",4,Hotel,non-chain,19/10/2016,2/11/2016,3/11/2016
"7,290",  117.20 ,"373,272","9,395",4.5,Hotel,chain,19/10/2016,24/11/2016,25/11/2016
"7,291",  40.00 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,8/11/2016,9/11/2016
"7,292",  80.00 ,"866,848","9,395",3,Resort,chain,19/10/2016,19/10/2016,20/10/2016
"7,293",  40.44 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,21/10/2016,22/10/2016
"7,294",  35.88 ,"323,518","9,395",3,Hotel,non-chain,19/10/2016,20/10/2016,23/10/2016
"7,295",  37.96 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,23/10/2016,24/10/2016
"7,296",  186.34 ,"179,404","9,395",3.5,Hotel,chain,19/10/2016,21/10/2016,23/10/2016
"7,297",  149.96 ,"1,058,728","9,395",4,Serviced Apartment,non-chain,19/10/2016,21/10/2016,24/10/2016
"7,298",  164.02 ,"96,982","9,395",4,Hotel,chain,19/10/2016,8/11/2016,10/11/2016
"7,299",  55.84 ,"601,910","9,395",3.5,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,300",  39.28 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,301",  86.00 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,13/11/2016,14/11/2016
"7,302",  92.66 ,"587,866","9,395",4,Serviced Apartment,non-chain,19/10/2016,20/10/2016,23/10/2016
"7,303",  272.26 ,"525,626","9,395",5,Hotel,chain,19/10/2016,6/11/2016,8/11/2016
"7,304",  56.00 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,20/10/2016,22/10/2016
"7,305",  50.24 ,"2,391,342","9,395",2,Hostel,non-chain,19/10/2016,2/11/2016,4/11/2016
"7,306",  107.97 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,10/11/2016,12/11/2016
"7,307",  57.16 ,"216,914","9,395",3,Hotel,non-chain,19/10/2016,19/10/2016,20/10/2016
"7,308",  48.14 ,"635,588","9,395",3,Hotel,non-chain,19/10/2016,19/11/2016,20/11/2016
"7,309",  82.22 ,"577,502","9,395",3.5,Hotel,non-chain,19/10/2016,24/10/2016,25/10/2016
"7,310",  70.73 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,28/10/2016,30/10/2016
"7,311",  115.00 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,312",  115.74 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,313",  115.00 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,314",  118.12 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,315",  125.12 ,"475,584","9,395",5,Hotel,chain,19/10/2016,23/10/2016,26/10/2016
"7,316",  61.94 ,"152,820","9,395",4,Hotel,non-chain,19/10/2016,23/10/2016,24/10/2016
"7,317",  85.64 ,"920,882","9,395",3,Guest House / Bed & Breakfast,non-chain,19/10/2016,14/11/2016,16/11/2016
"7,318",  115.00 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,319",  115.74 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,320",  115.00 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,321",  67.94 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,322",  116.22 ,"198,004","9,395",3,Hotel,non-chain,19/10/2016,22/10/2016,23/10/2016
"7,323",  69.36 ,"782,884","9,395",3,Hotel,chain,19/10/2016,20/10/2016,21/10/2016
"7,324",  186.76 ,"510,678","9,395",5,Hotel,non-chain,19/10/2016,19/10/2016,20/10/2016
"7,325",  111.85 ,"1,249,476","9,395",3.5,Hotel,non-chain,19/10/2016,19/10/2016,21/10/2016
"7,326",  195.34 ,"2,313,076","9,395",5,Hotel,chain,19/10/2016,26/11/2016,28/11/2016
"7,327",  118.12 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,328",  115.00 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,329",  115.00 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,330",  115.74 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,331",  72.00 ,"119,996","9,395",3,Hotel,non-chain,19/10/2016,23/10/2016,24/10/2016
"7,332",  118.12 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,26/10/2016
"7,333",  157.94 ,"141,282","9,395",5,Hotel,chain,19/10/2016,20/10/2016,23/10/2016
"7,334",  99.68 ,"373,272","9,395",4.5,Hotel,chain,19/10/2016,26/10/2016,27/10/2016
"7,335",  45.50 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,9/11/2016,10/11/2016
"7,336",  161.12 ,"198,004","9,395",3,Hotel,non-chain,19/10/2016,25/11/2016,27/11/2016
"7,337",  115.94 ,"373,272","9,395",4.5,Hotel,chain,19/10/2016,20/10/2016,21/10/2016
"7,338",  73.66 ,"1,058,728","9,395",4,Serviced Apartment,non-chain,19/10/2016,22/10/2016,24/10/2016
"7,339",  412.01 ,"197,980","9,395",5,Hotel,chain,19/10/2016,23/10/2016,26/10/2016
"7,340",  56.41 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,31/10/2016,2/11/2016
"7,341",  45.96 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,23/10/2016,24/10/2016
"7,342",  48.04 ,"526,414","9,395",2.5,Hotel,non-chain,19/10/2016,22/11/2016,24/11/2016
"7,343",  46.88 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,28/10/2016,30/10/2016
"7,344",  119.56 ,"373,272","9,395",4.5,Hotel,chain,19/10/2016,28/11/2016,29/11/2016
"7,345",  46.74 ,"21,378","9,395",4,Hotel,non-chain,19/10/2016,29/10/2016,1/11/2016
"7,346",  247.56 ,"608,654","9,395",4.5,Hotel,non-chain,19/10/2016,29/10/2016,31/10/2016
"7,347",  54.60 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,27/10/2016,28/10/2016
"7,348",  50.52 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,27/11/2016,29/11/2016
"7,349",  137.10 ,"298,446","9,395",4,Hotel,non-chain,19/10/2016,26/11/2016,27/11/2016
"7,350",  108.86 ,"21,360","9,395",4.5,Hotel,chain,19/10/2016,24/10/2016,25/10/2016
"7,351",  54.22 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,6/11/2016,9/11/2016
"7,352",  122.04 ,"298,446","9,395",4,Hotel,non-chain,19/10/2016,4/11/2016,6/11/2016
"7,353",  238.66 ,"96,982","9,395",4,Hotel,chain,19/10/2016,27/10/2016,29/10/2016
"7,354",  128.46 ,"298,446","9,395",4,Hotel,non-chain,19/10/2016,21/10/2016,23/10/2016
"7,355",  61.58 ,"569,328","9,395",3.5,Hotel,non-chain,19/10/2016,23/10/2016,24/10/2016
"7,356",  47.62 ,"216,914","9,395",3,Hotel,non-chain,19/10/2016,28/10/2016,31/10/2016
"7,357",  39.30 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,20/10/2016,22/10/2016
"7,358",  130.42 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,16/11/2016,19/11/2016
"7,359",  22.84 ,"788,970","9,395",3,Guest House / Bed & Breakfast,non-chain,19/10/2016,19/10/2016,20/10/2016
"7,360",  41.36 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,21/10/2016,22/10/2016
"7,361",  50.36 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,19/10/2016,20/10/2016
"7,362",  66.46 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,21/10/2016,22/10/2016
"7,363",  47.14 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,364",  41.36 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,21/10/2016,22/10/2016
"7,365",  25.44 ,"788,970","9,395",3,Guest House / Bed & Breakfast,non-chain,19/10/2016,12/12/2016,14/12/2016
"7,366",  54.84 ,"588,768","9,395",3,Hotel,non-chain,19/10/2016,23/10/2016,24/10/2016
"7,367",  51.66 ,"216,914","9,395",3,Hotel,non-chain,19/10/2016,20/10/2016,22/10/2016
"7,368",  201.60 ,"141,282","9,395",5,Hotel,chain,19/10/2016,27/11/2016,30/11/2016
"7,369",  39.62 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,370",  160.14 ,"475,584","9,395",5,Hotel,chain,19/10/2016,21/10/2016,23/10/2016
"7,371",  42.82 ,"2,880,836","9,395",0,Guest House / Bed & Breakfast,non-chain,19/10/2016,21/10/2016,24/10/2016
"7,372",  51.58 ,"475,438","9,395",3,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,373",  38.00 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,26/10/2016,27/10/2016
"7,374",  161.57 ,"180,880","9,395",4,Hotel,non-chain,19/10/2016,27/10/2016,30/10/2016
"7,375",  154.81 ,"373,272","9,395",4.5,Hotel,chain,19/10/2016,2/11/2016,5/11/2016
"7,376",  102.72 ,"180,166","9,395",4,Hotel,chain,19/10/2016,25/10/2016,26/10/2016
"7,377",  52.16 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,378",  72.26 ,"2,271,172","9,395",3,Hotel,non-chain,19/10/2016,21/10/2016,24/10/2016
"7,379",  119.86 ,"373,272","9,395",4.5,Hotel,chain,19/10/2016,14/11/2016,16/11/2016
"7,380",  53.36 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,18/11/2016,19/11/2016
"7,381",  151.53 ,"96,982","9,395",4,Hotel,chain,19/10/2016,18/11/2016,21/11/2016
"7,382",  119.86 ,"373,272","9,395",4.5,Hotel,chain,19/10/2016,25/11/2016,26/11/2016
"7,383",  62.38 ,"461,084","9,395",3,Hotel,non-chain,19/10/2016,22/10/2016,23/10/2016
"7,384",  48.60 ,"596,878","9,395",3.5,Hotel,chain,19/10/2016,23/10/2016,24/10/2016
"7,385",  62.38 ,"461,084","9,395",3,Hotel,non-chain,19/10/2016,22/10/2016,23/10/2016
"7,386",  76.42 ,"782,884","9,395",3,Hotel,chain,19/10/2016,8/11/2016,11/11/2016
"7,387",  37.16 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,388",  114.18 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,22/10/2016,23/10/2016
"7,389",  153.76 ,"600,926","9,395",3,Hotel,non-chain,19/10/2016,5/11/2016,7/11/2016
"7,390",  19.98 ,"889,932","9,395",2,Hostel,non-chain,19/10/2016,9/11/2016,10/11/2016
"7,391",  153.76 ,"600,926","9,395",3,Hotel,non-chain,19/10/2016,9/11/2016,10/11/2016
"7,392",  153.76 ,"600,926","9,395",3,Hotel,non-chain,19/10/2016,11/11/2016,12/11/2016
"7,393",  73.66 ,"198,004","9,395",3,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,394",  76.76 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,6/11/2016,7/11/2016
"7,395",  123.97 ,"373,272","9,395",4.5,Hotel,chain,19/10/2016,21/10/2016,23/10/2016
"7,396",  30.32 ,"677,014","9,395",3,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,397",  67.66 ,"600,926","9,395",3,Hotel,non-chain,19/10/2016,23/10/2016,24/10/2016
"7,398",  73.22 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,26/11/2016,28/11/2016
"7,399",  262.18 ,"525,626","9,395",5,Hotel,chain,19/10/2016,22/10/2016,23/10/2016
"7,400",  108.48 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,24/10/2016,25/10/2016
"7,401",  158.26 ,"510,678","9,395",5,Hotel,non-chain,19/10/2016,3/11/2016,5/11/2016
"7,402",  125.61 ,"2,794,252","9,395",0,Apartment,non-chain,19/10/2016,22/10/2016,24/10/2016
"7,403",  52.58 ,"2,391,342","9,395",2,Hostel,non-chain,19/10/2016,22/10/2016,23/10/2016
"7,404",  52.16 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,22/10/2016,24/10/2016
"7,405",  64.30 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,30/10/2016,31/10/2016
"7,406",  72.54 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,9/11/2016,11/11/2016
"7,407",  40.00 ,"635,588","9,395",3,Hotel,non-chain,19/10/2016,30/10/2016,31/10/2016
"7,408",  75.84 ,"782,884","9,395",3,Hotel,chain,19/10/2016,22/10/2016,24/10/2016
"7,409",  56.44 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,20/10/2016,22/10/2016
"7,410",  127.10 ,"2,271,172","9,395",3,Hotel,non-chain,19/10/2016,20/10/2016,21/10/2016
"7,411",  78.64 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,24/11/2016,26/11/2016
"7,412",  52.58 ,"297,388","9,395",2.5,Hotel,non-chain,19/10/2016,21/10/2016,22/10/2016
"7,413",  48.84 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,23/10/2016,25/10/2016
"7,414",  199.82 ,"96,982","9,395",4,Hotel,chain,19/10/2016,23/10/2016,24/10/2016
"7,415",  102.77 ,"542,024","9,395",4,Hotel,non-chain,19/10/2016,22/10/2016,24/10/2016
"7,416",  54.62 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,19/10/2016,10/11/2016,12/11/2016
"7,417",  123.67 ,"1,861,318","9,395",5,Hotel,non-chain,19/10/2016,21/10/2016,23/10/2016
"7,418",  113.04 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,20/10/2016,22/10/2016
"7,419",  194.84 ,"21,310","9,395",4,Hotel,chain,19/10/2016,20/10/2016,23/10/2016
"7,420",  113.02 ,"21,310","9,395",4,Hotel,chain,19/10/2016,20/10/2016,23/10/2016
"7,421",  140.65 ,"309,680","9,395",3,Hotel,chain,19/10/2016,26/11/2016,29/11/2016
"7,422",  44.74 ,"475,894","9,395",3,Serviced Apartment,non-chain,19/10/2016,22/10/2016,25/10/2016
"7,423",  38.80 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,9/11/2016,10/11/2016
"7,424",  50.10 ,"197,996","9,395",3.5,Hotel,non-chain,19/10/2016,13/11/2016,14/11/2016
"7,425",  114.18 ,"21,272","9,395",4,Hotel,non-chain,19/10/2016,30/10/2016,31/10/2016
"7,426",  97.64 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,27/11/2016,28/11/2016
"7,427",  97.64 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,8/12/2016,11/12/2016
"7,428",  91.36 ,"577,502","9,395",3.5,Hotel,non-chain,20/10/2016,20/10/2016,21/10/2016
"7,429",  77.54 ,"1,930,960","9,395",3,Hotel,non-chain,20/10/2016,20/10/2016,21/10/2016
"7,430",  109.36 ,"21,418","9,395",4,Hotel,chain,20/10/2016,23/10/2016,25/10/2016
"7,431",  84.88 ,"323,576","9,395",4,Hotel,chain,20/10/2016,20/10/2016,21/10/2016
"7,432",  124.76 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,14/11/2016,15/11/2016
"7,433",  66.28 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,20/10/2016,27/10/2016,28/10/2016
"7,434",  49.84 ,"503,400","9,395",3,Hotel,non-chain,20/10/2016,21/10/2016,22/10/2016
"7,435",  60.41 ,"782,884","9,395",3,Hotel,chain,20/10/2016,31/10/2016,2/11/2016
"7,436",  37.28 ,"197,996","9,395",3.5,Hotel,non-chain,20/10/2016,1/11/2016,2/11/2016
"7,437",  40.44 ,"197,996","9,395",3.5,Hotel,non-chain,20/10/2016,11/11/2016,12/11/2016
"7,438",  129.92 ,"373,272","9,395",4.5,Hotel,chain,20/10/2016,19/11/2016,21/11/2016
"7,439",  65.96 ,"782,894","9,395",2,Hotel,non-chain,20/10/2016,20/10/2016,21/10/2016
"7,440",  120.46 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,4/11/2016,6/11/2016
"7,441",  83.98 ,"591,210","9,395",2.5,Guest House / Bed & Breakfast,non-chain,20/10/2016,25/10/2016,27/10/2016
"7,442",  85.24 ,"323,576","9,395",4,Hotel,chain,20/10/2016,21/10/2016,22/10/2016
"7,443",  59.56 ,"197,996","9,395",3.5,Hotel,non-chain,20/10/2016,4/12/2016,5/12/2016
"7,444",  70.30 ,"475,438","9,395",3,Hotel,non-chain,20/10/2016,2/12/2016,4/12/2016
"7,445",  58.12 ,"21,378","9,395",4,Hotel,non-chain,20/10/2016,25/10/2016,28/10/2016
"7,446",  46.00 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,20/10/2016,21/10/2016
"7,447",  68.66 ,"782,884","9,395",3,Hotel,chain,20/10/2016,21/10/2016,22/10/2016
"7,448",  41.76 ,"475,894","9,395",3,Serviced Apartment,non-chain,20/10/2016,20/10/2016,22/10/2016
"7,449",  55.88 ,"198,004","9,395",3,Hotel,non-chain,20/10/2016,28/11/2016,29/11/2016
"7,450",  62.24 ,"152,820","9,395",4,Hotel,non-chain,20/10/2016,24/10/2016,25/10/2016
"7,451",  119.88 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,21/10/2016,23/10/2016
"7,452",  175.42 ,"1,991,354","9,395",4,Serviced Apartment,non-chain,20/10/2016,22/10/2016,24/10/2016
"7,453",  69.02 ,"323,576","9,395",4,Hotel,chain,20/10/2016,20/10/2016,22/10/2016
"7,454",  67.97 ,"782,884","9,395",3,Hotel,chain,20/10/2016,20/10/2016,22/10/2016
"7,455",  118.68 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,21/10/2016,23/10/2016
"7,456",  58.42 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,20/10/2016,23/10/2016
"7,457",  140.22 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,11/11/2016,13/11/2016
"7,458",  39.58 ,"2,880,836","9,395",0,Guest House / Bed & Breakfast,non-chain,20/10/2016,21/10/2016,24/10/2016
"7,459",  81.76 ,"298,322","9,395",3,Hotel,non-chain,20/10/2016,30/11/2016,3/12/2016
"7,460",  90.34 ,"1,561,120","9,395",3,Hotel,non-chain,20/10/2016,20/10/2016,22/10/2016
"7,461",  79.80 ,"331,350","9,395",3,Hotel,non-chain,20/10/2016,8/11/2016,10/11/2016
"7,462",  15.88 ,"2,356,648","9,395",3,Hostel,non-chain,20/10/2016,26/10/2016,27/10/2016
"7,463",  80.68 ,"297,356","9,395",3,Hotel,non-chain,20/10/2016,30/10/2016,31/10/2016
"7,464",  46.00 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,25/10/2016,27/10/2016
"7,465",  80.12 ,"331,350","9,395",3,Hotel,non-chain,20/10/2016,2/12/2016,5/12/2016
"7,466",  68.26 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,20/10/2016,20/10/2016,21/10/2016
"7,467",  59.58 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,20/10/2016,23/10/2016,24/10/2016
"7,468",  73.34 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,21/10/2016,24/10/2016
"7,469",  46.32 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,20/10/2016,23/10/2016
"7,470",  158.82 ,"96,982","9,395",4,Hotel,chain,20/10/2016,18/11/2016,21/11/2016
"7,471",  46.32 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,27/10/2016,29/10/2016
"7,472",  81.00 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,27/10/2016,29/10/2016
"7,473",  148.34 ,"373,272","9,395",4.5,Hotel,chain,20/10/2016,4/11/2016,6/11/2016
"7,474",  133.58 ,"257,678","9,395",4,Hotel,non-chain,20/10/2016,20/10/2016,22/10/2016
"7,475",  116.28 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,21/10/2016,22/10/2016
"7,476",  226.42 ,"461,164","9,395",4,Hotel,chain,20/10/2016,7/11/2016,9/11/2016
"7,477",  56.16 ,"152,820","9,395",4,Hotel,non-chain,20/10/2016,20/10/2016,21/10/2016
"7,478",  110.16 ,"298,446","9,395",4,Hotel,non-chain,20/10/2016,22/10/2016,23/10/2016
"7,479",  98.43 ,"21,360","9,395",4.5,Hotel,chain,20/10/2016,21/10/2016,24/10/2016
"7,480",  43.34 ,"1,093,126","9,395",2,Serviced Apartment,non-chain,20/10/2016,25/11/2016,28/11/2016
"7,481",  131.44 ,"257,678","9,395",4,Hotel,non-chain,20/10/2016,25/10/2016,27/10/2016
"7,482",  55.62 ,"1,930,960","9,395",3,Hotel,non-chain,20/10/2016,22/10/2016,24/10/2016
"7,483",  174.86 ,"475,584","9,395",5,Hotel,chain,20/10/2016,20/10/2016,21/10/2016
"7,484",  65.38 ,"297,388","9,395",2.5,Hotel,non-chain,20/10/2016,31/10/2016,1/11/2016
"7,485",  70.98 ,"1,561,120","9,395",3,Hotel,non-chain,20/10/2016,20/10/2016,21/10/2016
"7,486",  55.88 ,"198,004","9,395",3,Hotel,non-chain,20/10/2016,15/11/2016,17/11/2016
"7,487",  106.63 ,"1,058,728","9,395",4,Serviced Apartment,non-chain,20/10/2016,20/10/2016,22/10/2016
"7,488",  347.12 ,"608,654","9,395",4.5,Hotel,non-chain,20/10/2016,2/11/2016,3/11/2016
"7,489",  242.98 ,"525,626","9,395",5,Hotel,chain,20/10/2016,23/10/2016,24/10/2016
"7,490",  123.52 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,31/10/2016,3/11/2016
"7,491",  125.34 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,2/11/2016,4/11/2016
"7,492",  73.56 ,"782,884","9,395",3,Hotel,chain,20/10/2016,8/11/2016,9/11/2016
"7,493",  114.72 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,20/10/2016,21/10/2016
"7,494",  377.20 ,"2,313,076","9,395",5,Hotel,chain,20/10/2016,18/11/2016,20/11/2016
"7,495",  151.68 ,"96,982","9,395",4,Hotel,chain,20/10/2016,27/10/2016,29/10/2016
"7,496",  65.60 ,"581,660","9,395",3,Hotel,non-chain,20/10/2016,23/10/2016,26/10/2016
"7,497",  108.98 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,23/10/2016,25/10/2016
"7,498",  193.34 ,"180,880","9,395",4,Hotel,non-chain,20/10/2016,11/12/2016,12/12/2016
"7,499",  121.54 ,"21,272","9,395",4,Hotel,non-chain,20/10/2016,19/11/2016,20/11/2016
"7,500",  112.42 ,"21,310","9,395",4,Hotel,chain,20/10/2016,21/10/2016,24/10/2016
"7,501",  40.00 ,"197,996","9,395",3.5,Hotel,non-chain,20/10/2016,1/11/2016,2/11/2016
"7,502",  54.49 ,"526,414","9,395",2.5,Hotel,non-chain,20/10/2016,21/10/2016,23/10/2016
"7,503",  182.98 ,"510,678","9,395",5,Hotel,non-chain,20/10/2016,25/10/2016,26/10/2016
"7,504",  65.10 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,20/10/2016,22/10/2016,24/10/2016
"7,505",  51.92 ,"216,914","9,395",3,Hotel,non-chain,20/10/2016,21/10/2016,22/10/2016
"7,506",  41.00 ,"197,996","9,395",3.5,Hotel,non-chain,20/10/2016,23/10/2016,25/10/2016
"7,507",  97.46 ,"179,404","9,395",3.5,Hotel,chain,20/10/2016,20/10/2016,22/10/2016
"7,508",  48.95 ,"782,894","9,395",2,Hotel,non-chain,20/10/2016,20/10/2016,22/10/2016
"7,509",  91.98 ,"542,024","9,395",4,Hotel,non-chain,20/10/2016,21/11/2016,23/11/2016
"7,510",  45.70 ,"197,996","9,395",3.5,Hotel,non-chain,20/10/2016,1/11/2016,2/11/2016
"7,511",  191.36 ,"2,313,076","9,395",5,Hotel,chain,20/10/2016,9/12/2016,10/12/2016
"7,512",  242.84 ,"2,313,076","9,395",5,Hotel,chain,20/10/2016,14/11/2016,16/11/2016
"7,513",  35.00 ,"363,556","9,395",3,Hotel,non-chain,20/10/2016,22/10/2016,24/10/2016
"7,514",  41.56 ,"197,996","9,395",3.5,Hotel,non-chain,20/10/2016,23/10/2016,24/10/2016
"7,515",  89.02 ,"577,502","9,395",3.5,Hotel,non-chain,20/10/2016,20/10/2016,22/10/2016
"7,516",  118.06 ,"373,272","9,395",4.5,Hotel,chain,20/10/2016,9/11/2016,11/11/2016
"7,517",  160.60 ,"679,868","9,395",4,Guest House / Bed & Breakfast,non-chain,20/10/2016,22/10/2016,23/10/2016
"7,518",  147.38 ,"21,310","9,395",4,Hotel,chain,20/10/2016,1/11/2016,3/11/2016
"7,519",  120.46 ,"587,866","9,395",4,Serviced Apartment,non-chain,20/10/2016,15/11/2016,18/11/2016
"7,520",  228.16 ,"2,313,076","9,395",5,Hotel,chain,20/10/2016,10/12/2016,11/12/2016
"7,521",  40.84 ,"197,996","9,395",3.5,Hotel,non-chain,20/10/2016,20/10/2016,21/10/2016
